"ref_area","ref_area.label","source","source.label","indicator","indicator.label","time","obs_value","note_indicator","note_indicator.label","note_source","note_source.label"
"AFG","Afghanistan","FI:6357","ADM-RWO - Records of Unions of Afghanistan","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",16.77,,,,
"AFG","Afghanistan","FI:6357","ADM-RWO - Records of Unions of Afghanistan","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",9.36,,,,
"ALB","Albania","FX:7131","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",36.85,,,,
"ALB","Albania","FX:7131","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",48.7,,,,
"ALB","Albania","FX:7131","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",48.2,,,,
"ALB","Albania","FX:7131","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",49.9,,,,
"ARG","Argentina","FX:157","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",27.7,,,,
"ARG","Argentina","FX:157","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",30.4,,,,
"ARG","Argentina","FX:157","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",30,,,,
"ARG","Argentina","FX:157","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",31.8,,,,
"ARG","Argentina","FX:157","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",30.1,,,,
"ARM","Armenia","BA:867","LFS - Household Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",20.55,,,,
"ARM","Armenia","BA:867","LFS - Household Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",23.4,,,,
"ARM","Armenia","BA:867","LFS - Household Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",22.68,,,,
"ARM","Armenia","BA:867","LFS - Household Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",23.19,,,,
"ARM","Armenia","BA:867","LFS - Household Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",24.8,,,,
"ARM","Armenia","BA:867","LFS - Household Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",23.78,,,,
"ARM","Armenia","FI:171","ADM-RWO - Records from branch republican Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",33.9,,,,
"ARM","Armenia","FI:171","ADM-RWO - Records from branch republican Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",35.2,,,,
